Economic activity (NACE Rev. 2) and size group, Innovation active enterprises, Product innovative enterprises, Business process innovative enterprises, Ongoing innovation active enterprises, Abandoned innovation active enterprises, In-house R&D activities, Contract-out R&D to other enterprises or organisations
General, 38.5, 19.7, 30.2, 23.4, 8.8, 9.1, 4.4
Industry, 42.5, 22.6, 33.9, 26.0, 9.6, 10.9, 4.6,
Mining and quarrying (NACE B: 05-09), 29.9, 10.4, 23.2, 13.5, 5.3, 3.7, 3.5,
Manufacturing (NACE C: 10-33), 43.2, 23.3, 34.4, 26.5, 9.8, 11.2, 4.6,
Electricity gas steam and air conditioning supply (NACE D: 35), 27.6, 8.9, 21.5, 16.4, 4.4, 6.0, 8.0,
Water supply sewerage waste management and remediation activities (NACE E: 36-39), 33.6, 15.3, 26.8, 21.3, 7.6, 5.2, 6.1,
Service, 33.5, 16.1, 25.5, 20.2, 7.7, 6.8, 4.1,
Wholesale trade except of motor vehicles and motorcycles (NACE 46), 34.3, 16.1, 27.2, 20.5, 7.6, 5.1, 4.3,
Transportation and storage (NACE H: 49-53), 25.3, 10.5, 16.3, 14.0, 7.4, 2.4, 2.6,
Information and communication (NACE J: 58-63), 65.0, 42.5, 52.9, 46.7, 11.8, 40.5, 6.4,
Financial and insurance activities (NACE K: 64-66), 38.4, 19.3, 32.2, 24.8, 6.6, 5.4, 6.2,
Architectural and engineering activities technical testing and analysis (NACE 71), 30.2, 12.3, 21.8, 17.9, 6.1, 6.3, 3.8,
Scientific research and development (NACE 72), 82.7, 64.1, 74.1, 62.7, 13.0, 71.1, 18.1,
Advertising and market research (NACE 73), 37.1, 21.1, 33.5, 18.0, 11.8, 4.5, 7.2,
Total (Enterprises with 10 employees or more), 38.5, 19.7, 30.2, 23.4, 8.8, 9.1, 4.4
10-49, 35.9, 17.6, 27.5, 21.0, 8.6, 7.2, 3.8
50-249, 46.7, 26.1, 38.7, 30.9, 8.4, 13.7, 5.3
250+, 67.3, 44.9, 58.8, 50.3, 14.9, 35.9, 15.2
